"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0051216",2160.84222213675,0.36302558671334,0.0988190807720316,3.673638571389,0.000239120903307888,0.00316436662044106
"FBgn0024963",8.40961055447496,0.1373941489738,0.793514831316521,0.173146289837897,0.862536440363155,NA
"FBgn0014135",179.532214078736,0.141927425455455,0.557402196230344,0.254623010844407,0.799014284757754,0.926730458539301
"FBgn0038735",508.463821061069,-0.0194104397492028,0.132521275396399,-0.146470366295087,0.8835500818718,0.954289031294883
"FBgn0261984",2776.42654282666,-0.105677865578727,0.0929497282465847,-1.13693571323173,0.255565161147488,0.562907745141581
"FBgn0038737",227.443245168835,0.0900925926378347,0.177756304338715,0.506832052865832,0.612272664250125,0.834456978829485
"FBgn0038738",3805.85083810392,-0.0364354234358687,0.0953486041542811,-0.382128545656668,0.702366019220028,0.88271051617211
"FBgn0038739",310.944556601702,0.0342443433961436,0.171084083826554,0.200160895334137,0.841354749257106,0.941413049770402
"FBgn0038740",11.6360552635556,0.478913924410011,0.609395150541246,0.785884042537349,0.431935424058746,NA
"FBgn0038741",230.095050049004,0.0123450609953242,0.182632683636048,0.0675950259808128,0.946108015037131,0.97972915610801
"FBgn0038742",1375.49360450782,0.0328439814762813,0.109540760872648,0.299833424696272,0.764304218378705,0.91254507876132
"FBgn0014006",2193.98381105141,0.0518516473409732,0.0995653410746831,0.5207800905546,0.602519973976527,0.829049186836492
"FBgn0038744",51.3290059116915,-0.804204525361904,0.309034995111214,-2.60230892320946,0.00925983993347033,0.0627636467685708
"FBgn0038745",2154.67395095847,-0.342866283672025,0.0962252585459999,-3.56316302863577,0.000366412959870151,0.00454581078338907
"FBgn0038746",951.939815197484,-0.215913817940799,0.116575959215137,-1.85212988505064,0.0640071740263215,0.247655355678166
"FBgn0038747",3086.27147361081,-0.0953825954833043,0.0988334658622812,-0.96508398902265,0.334502745702197,0.645091766724088
"FBgn0266407",9.87970013412201,-0.148565017548191,0.776129301347375,-0.191417869793447,0.848198220843413,NA
"FBgn0266408",16.8199830411765,0.464937392480943,0.515289088538378,0.90228456767781,0.366905721259117,0.673431433840804
"FBgn0038755",326.441470834685,0.130159148454831,0.149640753334971,0.869810833974287,0.384403789839931,0.690535314780329
"FBgn0021776",14.2211431493281,0.0511234582541134,0.595683095518578,0.0858232483659914,0.931606925138089,0.974712979310076
"FBgn0051213",37.1273982541257,0.162541826236267,0.352057429069501,0.461691226530484,0.644302763590036,0.853559153894115
"FBgn0038760",953.724926744614,-0.0897725462018538,0.114078237901178,-0.786938401692533,0.431317926107888,0.720765193417811
"FBgn0038763",1178.17359851578,-0.0232234335824571,0.112094471984169,-0.20717733150781,0.835871370081167,0.939780254536484
"FBgn0243511",1992.88289808225,-0.112202184861665,0.10296952853527,-1.08966396620174,0.275861194576764,0.583571372541609
"FBgn0038765",124.393494929067,0.273694935885708,0.248582765956073,1.10102136337992,0.270887359390456,0.579281062542021
"FBgn0038766",99.0092386951529,0.108786556453339,0.243466466988405,0.446823572046658,0.655002450266507,0.858660755618795
"FBgn0038767",398.986138351111,0.2029332283246,0.1518678062033,1.33624915904126,0.18146784803867,0.474411241485855
"FBgn0038768",1299.56603413704,-0.148088861345989,0.114797311211966,-1.29000287360871,0.197049660371489,0.4972140883333
"FBgn0038769",425.908216003492,-0.120930064287016,0.14079523413467,-0.858907370197967,0.390391622871883,0.693717155596698
"FBgn0040571",19.0098397155154,-0.0229276523725601,0.480930794079024,-0.0476734961762353,0.961976457065496,0.985646591880599
"FBgn0038771",2500.49916046537,-0.0813535930018536,0.09402082672894,-0.865272044845917,0.386889490623222,0.692166884833863
"FBgn0038772",468.48540787119,-0.0826192720463528,0.137707428442584,-0.599962347570814,0.548531329215119,0.799750780433603
"FBgn0262582",13184.6696159604,-0.435782240592431,0.128137739767764,-3.40088908530961,0.000671670744106519,0.0076083138500218
"FBgn0038784",10.7724887960904,0.50649092208616,0.625832200900299,0.809307864564241,0.418338083633996,NA
"FBgn0261550",15556.61555065,-0.349863033008127,0.100335548208746,-3.48692999892964,0.000488599227176603,0.0058026378304435
"FBgn0038787",5174.72831321044,0.0678664375815772,0.103389802279305,0.656413264030021,0.511558258396333,0.771501664299969
"FBgn0038788",787.512810142585,-0.178524960702332,0.116513257876934,-1.53222872620124,0.125466002150116,0.38287337478972
"FBgn0016917",7995.11937876336,-0.158205610874606,0.0941901657045231,-1.67964043476578,0.0930272955040465,0.317178849802031
"FBgn0067783",93.2067252741157,-0.217287795911403,0.228295205946179,-0.951784313695262,0.341206378979332,0.651417044513856
"FBgn0043457",255.194452889762,0.0223998109025,0.183091906703194,0.122341895422018,0.902628253435316,0.962795771352384
"FBgn0040575",32.2241261027882,0.238439260943552,0.398723415457861,0.598006667528538,0.549835484194539,0.799787693516841
"FBgn0038803",698.177297437976,0.1848598472699,0.12837413805793,1.44000847886107,0.149865000244515,0.42302188114439
"FBgn0038804",158.519489415514,0.854622625861315,0.186955483848158,4.57126267852845,4.84794118439996e-06,0.00010390047726052
"FBgn0038805",1107.38024713714,0.749017422268551,0.104831960477161,7.14493384325988,9.0039243386122e-13,5.45018112207155e-11
"FBgn0038806",386.767196453485,-0.0536639320898677,0.142577724211124,-0.376383705005727,0.706631658415226,0.883864487571046
"FBgn0023212",1991.45449739223,-0.131293822574341,0.108503647589628,-1.21004063449469,0.226263300990396,0.530276562240621
"FBgn0038808",417.110578381607,0.19324510182455,0.141769871896732,1.36309005036919,0.172854132108104,0.460984354514878
"FBgn0054008",50.5938447232638,0.682176478139463,0.312458446677662,2.18325503884748,0.02901703359738,0.144713015498885
"FBgn0038809",3035.95459740926,-0.146298352429127,0.0974280175487731,-1.50160452927095,0.133199272935343,0.395554583713987
"FBgn0014029",4588.42142223083,0.380651944101366,0.104146614490116,3.65496224687641,0.000257219826330974,0.00336647047428781
"FBgn0038810",1275.61213372556,0.0477702599851902,0.105956701775142,0.450846989240633,0.652099832105152,0.857234111787919
"FBgn0038811",487.944738191857,-0.128882382743656,0.136756815474268,-0.94242018064472,0.345977559180835,0.655867233764458
"FBgn0023097",1928.27907498586,-0.145507776501223,0.116963305130557,-1.24404638137409,0.213482493147137,0.517375432165157
"FBgn0038815",253.747690334699,0.699435102809699,0.154397954345023,4.53008011522431,5.89613240021909e-06,0.000124131454092491
"FBgn0001169",2065.7602367117,-0.0372702177798794,0.112844389002976,-0.330279760555009,0.741188584425,0.901782430288205
"FBgn0015279",3713.01628334569,-0.00226621016159833,0.0920864550609648,-0.024609592801656,0.980366367668773,0.992991666535604
"FBgn0038816",620.140668311547,-0.236730003318055,0.140131178871742,-1.68934569183014,0.0911532019158835,0.312991863415453
"FBgn0004107",332.784276310086,0.146161332566476,0.152884510875726,0.956024464017061,0.339059874897689,0.649377940965319
"FBgn0038826",3065.32062385698,-0.0644404450278324,0.353897912991259,-0.18208766613841,0.855513927920791,0.944985861402595
"FBgn0051195",1365.95796454783,0.811452170693883,0.10000939335142,8.11375955299063,4.90772048954088e-16,4.39953394852713e-14
"FBgn0038827",676.272791349789,0.0583916109753355,0.120689700033581,0.483816025386495,0.628516440878851,0.845737161222243
"FBgn0038828",12.7146765915909,1.28517002253493,0.617247504741201,2.08209836842317,0.0373334855527043,0.172724344646446
"FBgn0038829",1019.39414293961,0.217429770137072,0.111916261254179,1.942789793909,0.0520415615581002,0.216835090620564
"FBgn0019936",22050.0026294958,-0.00517356558055302,0.109126238533161,-0.0474089975985097,0.962187258038713,0.985646591880599
"FBgn0038830",153.012351756064,-0.0885322040821917,0.188116218226176,-0.47062504720219,0.637908517801836,0.850208315512488
"FBgn0027493",7895.20894212162,0.060271301391014,0.0865061902121934,0.696728190701415,0.485972913044312,0.757725112408908
"FBgn0051223",260.906945087355,0.144249407043927,0.16175920151739,0.891753950877533,0.372524828901956,0.678701813495543
"FBgn0053094",2227.89536133155,-0.250114220952459,0.0940217885301587,-2.66017297546123,0.00781005299537881,0.0548084274599943
"FBgn0038832",429.804140495779,-2.68439468466371,0.175845926961755,-15.2656062670564,1.29617516603358e-52,9.00517696601832e-50
