"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0039155",1087.08797833976,-4.59952339255855,0.152457235218502,-30.1692693427538,5.9948537749727e-200,4.99790959219474e-196
"FBgn0039178",23.5915493152695,2.27430582426783,0.500461233758635,4.54441956909833,5.50868360773863e-06,0.000116859784319891
"FBgn0051125",39.295222934602,1.29209869453181,0.347694460084349,3.71619005438957,0.000202249472998662,0.00273282634747138
"FBgn0039257",842.345202696346,-1.07447379043178,0.11692618455951,-9.18933423235857,3.95280199529593e-20,4.86375682276078e-18
"FBgn0051092",230.837394491924,2.24486258334922,0.17543224215216,12.7961801993168,1.72216105130447e-37,6.24245942814146e-35
"FBgn0002609",62.359001378828,-1.50923214656665,0.302984240964564,-4.98122325359873,6.31835948892697e-07,1.59624736542982e-05
"FBgn0039419",2683.75864128436,-1.15987787780099,0.0944689535362527,-12.2778736757774,1.19087098928916e-34,3.81857362988605e-32
"FBgn0026562",65125.9511518211,-2.46574167547366,0.0875425964290387,-28.1661930997486,1.51803839964509e-174,4.2186287126137e-171
"FBgn0039464",1234.37439927586,1.05871359141107,0.108401996965182,9.76655062684065,1.56696329161363e-22,2.17729549369715e-20
"FBgn0039479",254.102817444745,1.47466021330769,0.159643320355908,9.23721838170301,2.52988360286811e-20,3.19570296925931e-18
"FBgn0039485",86.8395100007708,1.4328394956517,0.246423332992036,5.8145447440158,6.07991222144771e-09,2.05586163065059e-07
"FBgn0046258",12.7289115109116,2.09681510892162,0.660911477244811,3.17261113040851,0.00151074728104356,0.0147648779561115
"FBgn0053346",17.6866361434183,1.61228309981386,0.559039469552372,2.88402373647218,0.00392629157611687,0.0323694515430522
"FBgn0039593",63.9249473948255,1.89388438587052,0.313996146500232,6.03155295687402,1.62391490437894e-09,5.88633850339446e-08
"FBgn0265274",69.2830992274083,1.32060385340551,0.292617928996467,4.51306540899431,6.38973051964946e-06,0.000133177958355794
"FBgn0039640",107.537997821496,-1.73648214298226,0.247038236982033,-7.02920391675463,2.07715224673502e-12,1.17804205993401e-10
"FBgn0002773",59.6483761531829,-1.05757362332047,0.311085105301144,-3.39962796449767,0.00067477597000851,0.00763238017687837
"FBgn0039759",22.6218657621233,1.76441775700704,0.490087073049024,3.60021280714447,0.000317956845846748,0.00406565371752199
