195484
2994	3116	378
4146	4258	501
4929	5608	614
5673	6671	1294
0	289	0
651	872	290
2469	2546	512
2818	2940	590
3970	4082	713
4753	5432	826
5497	6273	1506
0	164	0
651	872	165
2469	2546	387
2818	2940	465
3068	3180	588
4753	5432	701
5497	6495	1381
0	164	0
651	872	165
2469	2546	387
2818	2940	465
3970	4082	588
4753	5432	701
5497	6495	1381
0	137	0
499	720	138
2317	2394	360
2666	2788	438
3818	3930	561
4601	5280	674
5345	6343	1354
0	93	0
455	676	94
2273	2350	316
2622	2744	394
2872	2984	517
4557	5236	630
5301	6299	1310
0	213	0
455	676	214
2273	2350	436
2622	2744	514
3774	3886	637
4557	5236	750
5301	6299	1430
0	199	0
812	889	200
1161	1283	278
1411	1523	401
3096	3775	514
3840	4616	1194
0	265	0
40820	41058	266
41132	41304	505
0	265	0
40912	41058	266
41132	41304	413
0	265	0
40841	41058	266
41132	41304	484
0	817	0
0	1123	0
0	458	0
0	789	0
850	1106	790
1166	1334	1047
1391	1904	1216
1961	2106	1730
2164	2265	1876
2318	2405	1978
2461	2584	2066
2858	3295	2190
3541	3661	2628
0	680	0
741	997	681
1057	1225	938
1282	1795	1107
1852	1997	1621
2055	2156	1767
2209	2296	1869
2352	2475	1957
2749	3001	2081
3089	3285	2334
3342	3552	2531
0	680	0
741	997	681
1057	1225	938
1282	1795	1107
1852	1997	1621
2055	2156	1767
2209	2296	1869
2352	2475	1957
2749	3552	2081
0	680	0
741	997	681
1057	1225	938
1282	1795	1107
1852	1997	1621
2055	2156	1767
2352	2475	1869
2749	3001	1993
3342	3552	2246
0	680	0
741	997	681
1057	1225	938
1282	1795	1107
1852	1997	1621
2055	2296	1767
2352	2475	2009
2749	3001	2133
3342	3552	2386
0	680	0
741	997	681
1057	1225	938
1282	1795	1107
1852	1997	1621
2055	2156	1767
2209	2296	1869
2352	2475	1957
2749	3001	2081
3342	3663	2334
0	680	0
741	997	681
1057	1225	938
1282	1795	1107
1852	1997	1621
2055	2156	1767
2209	2296	1869
2352	2475	1957
2749	3001	2081
4554	4675	2334
0	680	0
741	997	681
1057	1225	938
1282	1795	1107
1852	1997	1621
2055	2156	1767
2209	2296	1869
2352	2475	1957
2749	4675	2081
0	585	0
646	902	586
962	1130	843
1187	1700	1012
1757	1902	1526
1960	2061	1672
2114	2380	1774
2654	2906	2041
3247	3457	2294
0	370	0
457	1005	371
1070	1170	920
1232	1400	1021
1463	2296	1190
2453	2642	2024
3486	3603	2214
6176	6621	2332
0	1005	0
1070	1170	1006
1232	1400	1107
1463	2296	1276
2453	2642	2110
3486	3603	2300
6176	6621	2418
0	1005	0
1070	1170	1006
1232	1400	1107
1463	2296	1276
2453	2642	2110
3486	3603	2300
6176	6318	2418
7884	8167	2561
0	370	0
457	1005	371
1070	1170	920
1232	1400	1021
1463	2296	1190
2453	2642	2024
3486	3603	2214
6176	6318	2332
7884	8167	2475
0	235	0
303	421	236
488	1194	355
0	88	0
0	178	0
399	1918	179
0	178	0
399	2395	179
0	2395	0
0	726	0
